,nome,cpf,idade,data,endereco,estado,pais
0,Caleb Peixoto,172.039.845-32,37,02-08-1987,"Praça Caroline Ferreira, 9
Grotinha
20304-779 Barros das Pedras / RR",Amazonas,Brasil
1,Maria Fernanda Jesus,123.057.469-70,27,14-01-1997,"Jardim Benício Casa Grande, 57
Vila Batik
48207819 Azevedo da Serra / PA",Santa Catarina,Brasil
2,Enrico Oliveira,269.783.105-30,53,01-05-1971,"Viela João Gabriel da Conceição, 221
Cardoso
28034185 Pimenta / MA",Paraíba,Brasil
3,Sr. Apollo Pacheco,128.364.975-64,32,31-07-1992,"Colônia Clarice Borges, 96
Vila Cloris
74185646 Pires / MS",Mato Grosso,Brasil
4,Allana da Cruz,971.380.542-97,44,22-11-1980,"Jardim Heloísa Pacheco, 2
Jatobá
00637863 Lima / PI",Sergipe,Brasil
5,Sr. Davi Luiz Costa,237.598.016-68,37,20-02-1987,"Vereda Camargo, 24
Vila Tirol
18210215 Ferreira do Oeste / MA",Amapá,Brasil
6,Lucas Cavalcante,895.260.743-00,47,13-07-1977,"Chácara Isaque Duarte, 52
Barro Preto
01429-284 Peixoto / MT",Mato Grosso,Brasil
7,Sophia Novaes,045.871.362-71,55,09-08-1969,"Lagoa Marina Pimenta, 27
Jardim Montanhês
70957-289 Monteiro / RO",Mato Grosso do Sul,Brasil
8,Sr. Henry Gabriel Fogaça,891.057.246-94,56,19-11-1968,"Estação Mendes
Vila Suzana Primeira Seção
67182-931 Araújo / MS",Pernambuco,Brasil
9,Liam Câmara,167.243.590-07,20,24-10-2004,"Residencial de Freitas, 606
Marieta 1ª Seção
52811-639 da Mata de Oliveira / TO",Rio de Janeiro,Brasil
